119,0,119,0,194.9612
119,1,119,1,0.0
119,0,57,0,2930.198
119,1,57,1,4.09
119,0,128,0,4698.91
119,1,128,1,4.09
119,0,45,0,14251.05
119,1,45,1,6.09
119,0,144,0,14987.18
119,1,144,1,6.09
119,0,107,0,5735.807
119,1,107,1,5.09
119,0,42,0,12780.93
119,1,42,1,6.09
119,0,157,0,15258.78
119,1,157,1,5.09
119,0,62,0,16435.71
119,1,62,1,4.09
119,0,103,0,8928.609
119,1,103,1,5.09
119,0,132,0,17914.16
119,1,132,1,6.09
119,0,124,0,13875.28
119,1,124,1,6.09
119,0,158,0,13571.34
119,1,158,1,6.09
119,0,175,0,14269.96
119,1,175,1,5.09
119,0,87,0,13473.06
119,1,87,1,4.09
119,0,6,0,9729.112
119,1,6,1,6.09
119,0,71,0,16290.37
119,1,71,1,6.09
119,0,7,0,15974.44
119,1,7,1,6.09
119,0,180,0,14159.8
119,1,180,1,6.09
119,0,20,0,11745.76
119,1,20,1,5.59
119,0,146,0,16536.42
119,1,146,1,6.09
119,0,165,0,15743.49
119,1,165,1,6.09
119,0,81,0,19023.78
119,1,81,1,4.09
119,0,79,0,15205.97
119,1,79,1,6.09
119,0,134,0,14553.14
119,1,134,1,5.09
119,0,27,0,13713.35
119,1,27,1,6.09
119,0,117,0,18867.02
119,1,117,1,6.09
119,0,80,0,15630.56
119,1,80,1,5.59
119,0,150,0,18263.92
119,1,150,1,6.09
119,0,151,0,18478.29
119,1,151,1,6.09
119,0,53,0,15317.63
119,1,53,1,6.09
119,0,164,0,9872.658
119,1,164,1,6.09
119,0,160,0,17738.59
119,1,160,1,6.09
119,0,76,0,17586.27
119,1,76,1,6.09
119,0,16,0,19011.83
119,1,16,1,6.09
119,0,82,0,16325.42
119,1,82,1,4.09
119,0,91,0,15103.86
119,1,91,1,4.89
119,0,18,0,15750.72
119,1,18,1,6.09
119,0,2,0,18953.23
119,1,2,1,6.09
119,0,137,0,16774.49
119,1,137,1,6.09
119,0,5,0,13979.16
119,1,5,1,4.09
119,0,83,0,18572.15
119,1,83,1,6.09
119,0,159,0,11346.82
119,1,159,1,4.09
119,0,177,0,12805.95
119,1,177,1,4.09
119,0,125,0,13410.34
119,1,125,1,4.09
119,0,26,0,16461.71
119,1,26,1,6.09
119,0,127,0,11961.17
119,1,127,1,6.09
119,0,149,0,8614.42
119,1,149,1,4.09
119,0,174,0,17284.29
119,1,174,1,6.09
119,0,92,0,13869.1
119,1,92,1,6.09
119,0,161,0,19006.65
119,1,161,1,6.09
119,0,47,0,14170.83
119,1,47,1,6.09
119,0,34,0,9138.396
119,1,34,1,6.09
119,0,35,0,11041.03
119,1,35,1,6.09
119,0,89,0,10491.77
119,1,89,1,6.09
119,0,105,0,16505.05
119,1,105,1,6.09
119,0,22,0,11721.86
119,1,22,1,4.09
119,0,41,0,18364.35
119,1,41,1,6.09
119,0,28,0,9370.458
119,1,28,1,6.09
119,0,78,0,7798.826
119,1,78,1,6.09
119,0,133,0,19335.4
119,1,133,1,6.09
119,0,106,0,18117.87
119,1,106,1,4.09
119,0,163,0,14036.7
119,1,163,1,6.09
119,0,183,0,10080.76
119,1,183,1,6.09
119,0,129,0,10635.09
119,1,129,1,6.09
119,0,43,0,16614.41
119,1,43,1,5.09
119,0,147,0,11913.09
119,1,147,1,4.09
119,0,138,0,13811.17
119,1,138,1,5.09
119,0,13,0,11410.95
119,1,13,1,5.09
119,0,8,0,2333.461
119,1,8,1,4.09
119,0,9,0,18322.31
119,1,9,1,6.09
119,0,156,0,10944.81
119,1,156,1,5.09
119,0,61,0,14937.81
119,1,61,1,6.09
119,0,186,0,12199.72
119,1,186,1,4.09
119,0,25,0,17735.26
119,1,25,1,6.09
119,0,162,0,16286.41
119,1,162,1,6.09
119,0,44,0,18419.03
119,1,44,1,6.09
119,0,123,0,17991.74
119,1,123,1,6.09
119,0,40,0,15695.31
119,1,40,1,6.09
119,0,88,0,5085.255
119,1,88,1,4.09
119,0,170,0,14788.73
119,1,170,1,6.09
119,0,68,0,13595.58
119,1,68,1,4.09
119,0,66,0,17523.31
119,1,66,1,6.09
119,0,73,0,13253.57
119,1,73,1,6.09
119,0,67,0,16412.71
119,1,67,1,6.09
119,0,184,0,14397.04
119,1,184,1,5.09
119,0,0,0,13762.0
119,1,0,1,5.59
119,0,112,0,12213.02
119,1,112,1,6.09
119,0,116,0,12085.05
119,1,116,1,6.09
119,0,11,0,13319.88
119,1,11,1,4.09
119,0,12,0,14689.08
119,1,12,1,5.09
119,0,176,0,19147.14
119,1,176,1,3.09
119,0,48,0,13874.56
119,1,48,1,4.09
119,0,21,0,18148.78
119,1,21,1,6.09
119,0,75,0,18128.41
119,1,75,1,6.09
119,0,4,0,13836.31
119,1,4,1,6.09
119,0,142,0,3404.995
119,1,142,1,3.09
119,0,59,0,19263.88
119,1,59,1,6.09
119,0,114,0,11319.57
119,1,114,1,6.09
119,0,115,0,12253.8
119,1,115,1,5.09
119,0,130,0,10475.75
119,1,130,1,6.09
119,0,46,0,18247.02
119,1,46,1,6.09
119,0,69,0,11517.5
119,1,69,1,6.09
119,0,152,0,4130.61
119,1,152,1,4.09
119,0,148,0,15975.42
119,1,148,1,4.09
119,0,52,0,11551.22
119,1,52,1,6.09
119,0,111,0,5935.469
119,1,111,1,5.09
119,0,49,0,13452.83
119,1,49,1,6.09
119,0,29,0,15243.89
119,1,29,1,5.09
119,0,72,0,13434.22
119,1,72,1,4.09
119,0,10,0,15564.51
119,1,10,1,6.09
119,0,63,0,16014.68
119,1,63,1,6.09
